COMPANY,ADDRESS,EMAIL ADDRESS,PHONE,CITY,ZIP CODE,COUNTY
Cannabist,160 King Street,-,-,St. Augustine,32084,St. Johns
Cannabist,21 Suntree Place,-,-,Melbourne,32803,Brevard
Cannabist,10615 E Colonial Drive,-,-,Orlando,32803,Orange
Cannabist,2126 Del Prado Boulevard S,-,-,Cape Coral,32216,Lee
Cannabist,4332 University Boulevard S,-,-,Jacksonville,32216,Duval
Cannabist,6979 S Tamiami Trail,-,-,Sarasota,34231,Sarasota
Cannabist,318 NW 13th Street,-,-,Gainesville,32601,Alachua
Cookies,626 NW 13th Street,-,-,Gainesville,32601,Alachua
Cookies,1345 Lee Road,-,-,Orlando,32810,Orange
Cookies,8303 SW 40th Street,-,-,Miami,33155,Miami-Dade
Curaleaf,300 Clematis Street,-,-,West Palm Beach,33401,Palm Beach
Curaleaf,7875 Glades Road,-,-,Boca Raton,33434,Palm Beach
Curaleaf,19631 State Road 7,-,-,Boca Raton,33498,Palm Beach
Curaleaf,1900 US Hwy 27 S,-,-,Clermont,34711,Lake
Curaleaf,3540 Northlake Boulevard,-,-,West Palm Beach,33403,Palm Beach
Curaleaf,2121 W Tennessee Street,-,-,Tallahassee,32304,Leon
Curaleaf,550 Collins Avenue,-,-,Miami Beach,33139,Miami-Dade
Curaleaf,6600 International Drive,-,-,Orlando,32819,Orange
Curaleaf,9268 SE Maricamp Road,-,-,Ocala,34772,Marion
Curaleaf,10612 Sheldon Road,-,-,Tampa,33626,Hillsborough
Curaleaf,612 N Dale Mabry Highway,-,-,Tampa,33609,Hillsborough
Curaleaf,11311 University Boulevard,-,-,Orlando,32817,Orange
Curaleaf,4227 Manatee Avenue E,-,-,Bradenton,34208,Manatee
Curaleaf,1930 S McCall Road,-,-,Englewood,34223,Charlotte
Curaleaf,2900 Country Club Lane,-,-,Pembroke Park,33009,Broward
Curaleaf,6899 N University Drive,-,-,Tamarac,33321,Broward
Curaleaf,10289 Ulmerton Road,-,-,Largo,33771,Pinellas
Curaleaf,13755 N Dale Mabry Highway,-,-,Tampa,33618,Hillsborough
Curaleaf,12125 SW 152nd Street,-,-,Miami,33177,Miami-Dade
Curaleaf,19416 Bruce B Downs Boulevard,-,-,Wesley Chapel,33647,Pasco
Curaleaf,919 US Hwy 441,-,-,Lady Lake,32159,Lake
Curaleaf,1910 SE Federal Highway,-,-,Stuart,34994,Martin
Curaleaf,4287 Mariner Boulevard,-,-,Spring Hill,34609,Hernando
Curaleaf,6835 Okeechobee Boulevard,-,-,West Palm Beach,33411,Palm Beach
Curaleaf,2605 Cortez Road W,-,-,Bradenton,34207,Manatee
Curaleaf,5935 4th Street N,-,-,St. Petersburg,33703,Pinellas
Curaleaf,9760 San Jose Boulevard,-,-,Jacksonville,32257,Duval
Curaleaf,846 E Brandon Boulevard,-,-,Brandon,33511,Hillsborough
Curaleaf,3630 W Gandy Boulevard,-,-,Tampa,33611,Hillsborough
Curaleaf,2082 Gulf to Bay Boulevard,-,-,Clearwater,33765,Pinellas
Curaleaf,749 W 23rd Street,-,-,Panama City,32405,Bay
Curaleaf,5090 N 9th Avenue,-,-,Pensacola,32504,Escambia
Curaleaf,1435 S Tamiami Trail,-,-,Sarasota,34239,Sarasota
Curaleaf,3631 NW Federal Highway,-,-,Jensen Beach,34957,Martin
Curaleaf,1994 Kings Highway,-,-,Port Charlotte,33980,Charlotte
Curaleaf,610 Lake Minnie Drive,-,-,Sanford,32771,Seminole
Curaleaf,495 Blanding Boulevard,-,-,Orange Park,32073,Clay
Curaleaf,2300 SW 34th Street,-,-,Gainesville,32607,Alachua
Curaleaf,5400 NW 72nd Avenue,-,-,Miami,33166,Miami-Dade
Curaleaf,11721 Bonita Beach Road,-,-,Bonita Springs,34135,Lee
Curaleaf,200 S Washington Avenue,-,-,Titusville,32796,Brevard
Curaleaf,1408 Dale Mabry Highway,-,-,Lutz,33548,Pasco
Curaleaf,1839 SW College Road,-,-,Ocala,34471,Marion
Curaleaf,6421 N Florida Avenue,-,-,Tampa,33604,Hillsborough
Curaleaf,1345 Thomasville Road,-,-,Tallahassee,32303,Leon
Curaleaf,775 N Semoran Boulevard,-,-,Orlando,32807,Orange
Curaleaf,16685 NW 2nd Avenue,-,-,North Miami,33169,Miami-Dade
Curaleaf,3218 US Hwy 1,-,-,Fort Pierce,34982,St. Lucie
Curaleaf,910 W International Speedway Boulevard,-,-,Daytona Beach,32114,Volusia
Curaleaf,148 N Federal Highway,-,-,Deerfield Beach,33441,Broward
Curaleaf,3145 US Hwy 98 N,-,-,Lakeland,33805,Polk
Curaleaf,6361 103rd Street,-,-,Jacksonville,32210,Duval
Curaleaf,12402 S Orange Blossom Trail,-,-,Orlando,32837,Orange
Curaleaf,3811 Tyrone Boulevard,-,-,St. Petersburg,33709,Pinellas
Curaleaf,35388 US Hwy 19 N,-,-,Palm Harbor,34684,Pinellas
Curaleaf,1420 Palm Bay Road NE,-,-,Palm Bay,32905,Brevard
Curaleaf,19000 SW 192nd Street,-,-,Miami,33187,Miami-Dade
Curaleaf,1125 N Dixie Highway,-,-,Lake Worth,33460,Palm Beach
Curaleaf,9002 S Dadeland Boulevard,-,-,Kendall,33156,Miami-Dade
Curaleaf,4480 Fowler Street,-,-,Fort Myers,33901,Lee
FLUENT,971 Cassat Avenue,-,-,Jacksonville,32205,Duval
FLUENT,2385 S Ferdon Boulevard,-,-,Crestview,32536,Okaloosa
FLUENT,500 E Chase Street,-,-,Pensacola,32502,Escambia
FLUENT,763 Atlantic Boulevard,-,-,Atlantic Beach,32233,Duval
FLUENT,301 E Nine Road,-,-,Pensacola,32514,Escambia
FLUENT,2090 U.S. 98,-,-,Mary Esther,32569,Okaloosa
FLUENT,3460 US Hwy 441,-,-,Fruitland Park,34731,Lake
FLUENT,622 S Federal Highway,-,-,Deerfield Beach,33441,Broward
FLUENT,9637 US Hwy 98,-,-,Miramar Beach,32550,Walton
FLUENT,2620 S US Hwy 1,-,-,Fort Pierce,34982,St. Lucie
FLUENT,9611 N Kendall Drive,-,-,Miami,33176,Miami-Dade
FLUENT,5827 SW 40th Street,-,-,Miami,33155,Miami-Dade
FLUENT,1406 N University Drive,-,-,Coral Springs,33701,Broward
FLUENT,10607 E Colonial Drive,-,-,Orlando,32817,Orange
FLUENT,3611 US Hwy 98,-,-,Panama City,32401,Bay
FLUENT,4825 US Hwy 98 N,-,-,Lakeland,33809,Polk
FLUENT,9510 Atlantic Boulevard,-,-,Jacksonville,32225,Duval
FLUENT,606 S Dale Mabry Highway,-,-,Tampa,33609,Hillsborough
FLUENT,103 SW 3rd Place,-,-,Cape Coral,33991,Lee
FLUENT,5138 Deer Park Drive,-,-,New Port Richey,34653,Pasco
FLUENT,5611 Six Mile Commercial Court,-,-,Fort Myers,33912,Lee
FLUENT,11245 SW 211 Street,-,-,Miami,33189,Miami-Dade
FLUENT,6340 N Wickham Road,-,-,Melbourne,32940,Brevard
FLUENT,487 State Road 436,-,-,Casselberry,32707,Seminole
FLUENT,921 S Missouri Avenue,-,-,Clearwater,33756,Pinellas
FLUENT,175 NW 167th Street,-,-,North Miami Beach,33169,Miami-Dade
FLUENT,601 34th Street N,-,-,St. Petersburg,33713,Pinellas
FLUENT,1901 N Orange Avenue,-,-,Orlando,32804,Orange
FLUENT,1 S Dixie Highway,-,-,Lake Worth,33460,Palm Beach
FLUENT,3400 SW 34th Street,-,-,Gainesville,32608,Alachua
FLUENT,109 Racetrack Road NE,-,-,Fort Walton Beach,32547,Okaloosa
FLUENT,9901 San Jose Boulevard,-,-,Jacksonville,32257,Duval
FLUENT,1902 Thomasville Road,-,-,Tallahassee,32303,Leon
Gold Leaf,5220 Hardware Place,-,-,Sebring,33870,Highlands
Green Dragon,15405 US Hwy 441,-,-,Summerfield,34491,Marion
Green Dragon,1170 S Broad Street,-,-,Brooksville,34601,Hernando
Green Dragon,91 NE US Hwy 19,-,-,Crystal River,34429,Citrus
Green Dragon,1500 N US Hwy 41,-,-,Inverness,34450,Citrus
Green Dragon,12605 Biscayne Boulevard,-,-,North Miami,33181,Miami-Dade
Green Dragon,855 W Base Street,-,-,Madison,32340,Madison
Green Dragon,800 Lee Road,-,-,Orlando,32810,Orange
Green Dragon,1271 Pasadena Avenue S,-,-,South Pasadena,33707,Pinellas
Green Dragon,2590 S Volusia Avenue,-,-,Orange City,32763,Volusia
Green Dragon,130 Fountain Parkway N,-,-,St. Petersburg,33716,Pinellas
Green Dragon,920 N Navy Boulevard,-,-,Pensacola,32507,Escambia
Green Dragon,5500 Bayshore Road,-,-,North Fort Myers,33917,Lee
Green Dragon,6352 103rd Street,-,-,Jacksonville,32210,Duval
Green Dragon,5180 Baymeadows Road,-,-,Jacksonville,32217,Duval
Green Dragon,917 Harrison Avenue,-,-,Panama City,32401,Bay
Green Dragon,1403 Akron Drive,-,-,Leesburg,34748,Lake
Green Dragon,1985 N Andrews Avenue,-,-,Wilton Manors,33311,Broward
Green Dragon,1001 S US Hwy 1,-,-,Fort Pierce,34950,St. Lucie
Green Dragon,895 N Summit Street,-,-,Crescent City,32112,Putnam
Green Dragon,950 Blanding Boulevard,-,-,Orange Park,32065,Clay
Green Dragon,1912 N Monroe Street,-,-,Tallahassee,32303,Leon
Green Dragon,437 W Gaines Street,-,-,Tallahassee,32301,Leon
Green Dragon,701 E 9 Mile Road,-,-,Pensacola,32514,Escambia
Green Dragon,1519 Saint Johns Avenue,-,-,Palatka,32177,Putnam
Green Dragon,2048 SE Federal Highway,-,-,Stuart,34994,Martin
Green Dragon,2645 E Silver Springs Boulevard,-,-,Ocala,34470,Marion
Green Dragon,714 Cheney Highway,-,-,Titusville,32780,Brevard
Green Dragon,205 Crockett Boulevard,-,-,Merritt Island,32953,Brevard
Green Dragon,12807 W Hillsborough Avenue,-,-,Tampa,33635,Hillsborough
Green Dragon,2201 S Federal Highway,-,-,Boynton Beach,33435,Palm Beach
Green Dragon,1695 Forum Place,-,-,West Palm Beach,33401,Palm Beach
Green Dragon,7343 Lake Worth Road,-,-,Lake Worth,33467,Palm Beach
